City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hamilton,39.1834,-84.5333,33.11,70,0,4.63,US,1690574557
1,tromso,69.6496,18.957,11.88,82,20,4.63,NO,1690575336
2,along,28.1667,94.7667,23.36,99,81,0.37,IN,1690575336
3,letlhakane,-21.4167,25.5833,17.62,34,19,2.03,BW,1690575337
4,san pedro,14.35,121.0167,24.62,97,75,4.63,PH,1690575028
5,hinton,53.4001,-117.5857,13.74,72,98,2.59,CA,1690575337
6,uzgen,40.7699,73.3007,24.16,33,84,2.56,KG,1690575337
7,adamstown,-25.066,-130.1015,20.31,65,44,8.86,PN,1690575337
8,magadi,12.9667,77.2333,21.09,87,79,4.88,IN,1690575338
9,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,75,4.0,RU,1690575338
10,buala,-8.145,159.5921,26.11,87,100,3.38,SB,1690575338
11,talnakh,69.4865,88.3972,20.67,66,71,2.03,RU,1690575339
12,kodinsk,58.6881,99.1844,15.51,86,3,0.57,RU,1690575339
13,blackmans bay,-43.0167,147.3167,12.07,76,100,2.67,AU,1690575339
14,edinburgh of the seven seas,-37.0676,-12.3116,13.57,80,100,13.59,SH,1690575339
15,port-aux-francais,-49.35,70.2167,4.22,74,100,10.87,TF,1690575339
16,albany,42.6001,-73.9662,33.15,57,15,0.89,US,1690575171
17,afaahiti,-17.75,-149.2833,21.93,86,88,8.9,PF,1690575340
18,olonkinbyen,70.9221,-8.7187,5.82,85,99,3.04,SJ,1690575340
19,longyearbyen,78.2186,15.6401,8.91,76,75,2.06,SJ,1690575340
20,hermanus,-34.4187,19.2345,10.45,89,100,11.28,ZA,1690575341
21,puerto natales,-51.7236,-72.4875,2.33,97,97,1.27,CL,1690575341
22,avarua,-21.2078,-159.775,25.03,73,40,0.51,CK,1690575341
23,bethel,41.3712,-73.414,33.18,61,20,3.09,US,1690575263
24,kodiak,57.79,-152.4072,14.73,82,20,8.23,US,1690575341
25,kongsberg,59.6652,9.6465,16.22,95,18,1.59,NO,1690575342
26,bikenibeu village,1.3673,173.1241,27.98,83,40,2.06,KI,1690575342
27,georgetown,5.4112,100.3354,28.3,87,20,1.03,MY,1690575342
28,vila velha,-20.3297,-40.2925,23.97,79,0,5.66,BR,1690575340
29,tazovsky,67.4667,78.7,14.85,90,69,2.31,RU,1690575342
30,smithers,54.7804,-127.1743,23.18,43,75,2.06,CA,1690575343
31,cill airne,52.05,-9.5167,13.41,91,100,3.56,IE,1690575343
32,tiksi,71.6872,128.8694,5.86,72,30,1.73,RU,1690575343
33,wailua homesteads,22.0669,-159.378,28.44,74,0,9.77,US,1690575344
34,papatowai,-46.5619,169.4708,6.86,68,100,2.47,NZ,1690575344
35,crane,31.3974,-102.3501,35.92,21,83,6.42,US,1690575344
36,ribeira grande,38.5167,-28.7,25.43,88,75,5.66,PT,1690575344
37,kingston,17.997,-76.7936,34.58,60,20,11.32,JM,1690575228
38,ushuaia,-54.8,-68.3,4.81,70,40,5.14,AR,1690575345
39,rongelap,11.1635,166.8941,28.53,81,87,9.67,MH,1690575345
40,ubari,26.5921,12.7805,35.48,17,8,3.12,LY,1690575345
41,melenki,55.3343,41.6295,20.08,77,43,2.09,RU,1690575345
42,la ronge,55.1001,-105.2842,21.12,49,40,4.12,CA,1690575346
43,west island,-12.1568,96.8225,24.99,78,40,9.26,CC,1690575346
44,waitangi,-43.9535,-176.5597,10.46,95,80,4.47,NZ,1690575346
45,revda,56.801,59.9303,14.86,92,8,1.24,RU,1690575346
46,novyy urgal,51.0736,132.5642,15.0,97,57,0.74,RU,1690575346
47,badger,64.8,-147.5333,25.28,63,75,2.06,US,1690575347
48,glace bay,46.1969,-59.957,28.27,63,40,3.09,CA,1690575347
49,spittal an der drau,46.8,13.5,19.14,95,100,1.03,AT,1690575347
50,grytviken,-54.2811,-36.5092,-1.24,88,63,4.8,GS,1690575347
51,turpan,42.9333,89.1667,36.33,22,95,3.66,CN,1690575348
52,ust-nera,64.5667,143.2,13.13,47,29,1.73,RU,1690575348
53,puerto ayora,-0.7393,-90.3518,27.98,92,94,4.02,EC,1690575348
54,rengasdengklok,-6.1592,107.2981,25.07,72,100,1.97,ID,1690575348
55,bredasdorp,-34.5322,20.0403,10.08,95,21,3.86,ZA,1690575348
56,hobyo,5.3505,48.5268,25.35,80,100,10.93,SO,1690575349
57,port elizabeth,-33.918,25.5701,17.16,94,20,6.69,ZA,1690575061
58,sitka,57.0531,-135.33,20.94,64,0,3.09,US,1690575349
59,qaqortoq,60.7167,-46.0333,8.97,69,100,3.12,GL,1690575349
60,fort bragg,35.139,-79.006,36.22,53,0,4.12,US,1690575349
